January 15th|PEACE IS IN STAYING THE COURSE|“Tranquility can’t be grasped except by those who have reached an unwavering and firm power of judgment—the rest constantly fall and rise in their decisions, wavering in a state of alternately rejecting and accepting things. What is the cause of this back and forth? It’s because nothing is clear and they rely on the most uncertain guide—common opinion.” —SENECA, MORAL LETTERS, 95.57b–58a
January 16th|NEVER DO ANYTHING OUT OF HABIT|“So in the majority of other things, we address circumstances not in accordance with the right assumptions, but mostly by following wretched habit. Since all that I’ve said is the case, the person in training must seek to rise above, so as to stop seeking out pleasure and steering away from pain; to stop clinging to living and abhorring death; and in the case of property and money, to stop valuing receiving over giving.” —MUSONIUS RUFUS, LECTURES, 6.25.5–11
January 17th|REBOOT THE REAL WORK|“I am your teacher and you are learning in my school. My aim is to bring you to completion, unhindered, free from compulsive behavior, unrestrained, without shame, free, flourishing, and happy, looking to God in things great and small—your aim is to learn and diligently practice all these things. Why then don’t you complete the work, if you have the right aim and I have both the right aim and right preparation? What is missing? . . . The work is quite feasible, and is the only thing in our power. . . . Let go of the past. We must only begin. Believe me and you will see.” —EPICTETUS, DISCOURSES, 2.19.29–34
January 18th|SEE THE WORLD LIKE A POET AND AN ARTIST|“Pass through this brief patch of time in harmony with nature, and come to your final resting place gracefully, just as a ripened olive might drop, praising the earth that nourished it and grateful to the tree that gave it growth.” —MARCUS AURELIUS, MEDITATIONS, 4.48.2
January 19th|WHEREVER YOU GO, THERE YOUR CHOICE IS|“A podium and a prison is each a place, one high and the other low, but in either place your freedom of choice can be maintained if you so wish.” —EPICTETUS, DISCOURSES, 2.6.25
January 20th|REIGNITE YOUR THOUGHTS|“Your principles can’t be extinguished unless you snuff out the thoughts that feed them, for it’s continually in your power to reignite new ones. . . . It’s possible to start living again! See things anew as you once did—that is how to restart life!” —MARCUS AURELIUS, MEDITATIONS, 7.2
January 21st|A MORNING RITUAL|“Ask yourself the following first thing in the morning: What am I lacking in attaining freedom from passion? What for tranquility? What am I? A mere body, estate-holder, or reputation? None of these things. What, then? A rational being. What then is demanded of me? Meditate on your actions. How did I steer away from serenity? What did I do that was unfriendly, unsocial, or uncaring? What did I fail to do in all these things?” —EPICTETUS, DISCOURSES, 4.6.34–35
January 22nd|THE DAY IN REVIEW|“I will keep constant watch over myself and—most usefully—will put each day up for review. For this is what makes us evil—that none of us looks back upon our own lives. We reflect upon only that which we are about to do. And yet our plans for the future descend from the past.” —SENECA, MORAL LETTERS, 83.2
January 23rd|THE TRUTH ABOUT MONEY|“Let’s pass over to the really rich—how often the occasions they look just like the poor! When they travel abroad they must restrict their baggage, and when haste is necessary, they dismiss their entourage. And those who are in the army, how few of their possessions they get to keep . . .” —SENECA, ON CONSOLATION TO HELVIA, 12. 1.b–2
January 24th|PUSH FOR DEEP UNDERSTANDING|“From Rusticus . . . I learned to read carefully and not be satisfied with a rough understanding of the whole, and not to agree too quickly with those who have a lot to say about something.” —MARCUS AURELIUS, MEDITATIONS, 1.7.3
January 25th|THE ONLY PRIZE|“What’s left to be prized? This, I think—to limit our action or inaction to only what’s in keeping with the needs of our own preparation . . . it’s what the exertions of education and teaching are all about—here is the thing to be prized! If you hold this firmly, you’ll stop trying to get yourself all the other things. . . . If you don’t, you won’t be free, self-sufficient, or liberated from passion, but necessarily full of envy, jealousy, and suspicion for any who have the power to take them, and you’ll plot against those who do have what you prize. . . . But by having some self-respect for your own mind and prizing it, you will please yourself and be in better harmony with your fellow human beings, and more in tune with the gods—praising everything they have set in order and allotted you.” —MARCUS AURELIUS, MEDITATIONS, 6.16.2b–4a
January 26th|THE POWER OF A MANTRA|“Erase the false impressions from your mind by constantly saying to yourself, I have it in my soul to keep out any evil, desire or any kind of disturbance—instead, seeing the true nature of things, I will give them only their due. Always remember this power that nature gave you.” —MARCUS AURELIUS, MEDITATIONS, 8.29
January 27th|THE THREE AREAS OF TRAINING|“There are three areas in which the person who would be wise and good must be trained. The first has to do with desires and aversions—that a person may never miss the mark in desires nor fall into what repels them. The second has to do with impulses to act and not to act—and more broadly, with duty—that a person may act deliberately for good reasons and not carelessly. The third has to do with freedom from deception and composure and the whole area of judgment, the assent our mind gives to its perceptions. Of these areas, the chief and most urgent is the first which has to do with the passions, for strong emotions arise only when we fail in our desires and aversions.” —EPICTETUS, DISCOURSES, 3.2.1–3a
January 28th|WATCHING THE WISE|“Take a good hard look at people’s ruling principle, especially of the wise, what they run away from and what they seek out.” —MARCUS AURELIUS, MEDITATIONS, 4.38
January 29th|KEEP IT SIMPLE|“At every moment keep a sturdy mind on the task at hand, as a Roman and human being, doing it with strict and simple dignity, affection, freedom, and justice—giving yourself a break from all other considerations. You can do this if you approach each task as if it is your last, giving up every distraction, emotional subversion of reason, and all drama, vanity, and complaint over your fair share. You can see how mastery over a few things makes it possible to live an abundant and devout life—for, if you keep watch over these things, the gods won’t ask for more.” —MARCUS AURELIUS, MEDITATIONS, 2.5
January 30th|YOU DON’T HAVE TO STAY ON TOP OF EVERYTHING|“If you wish to improve, be content to appear clueless or stupid in extraneous matters—don’t wish to seem knowledgeable. And if some regard you as important, distrust yourself.” —EPICTETUS, ENCHIRIDION, 13a
January 31st|PHILOSOPHY AS MEDICINE OF THE SOUL|“Don’t return to philosophy as a task-master, but as patients seek out relief in a treatment of sore eyes, or a dressing for a burn, or from an ointment. Regarding it this way, you’ll obey reason without putting it on display and rest easy in its care.” —MARCUS AURELIUS, MEDITATIONS, 5.9
February 1st|FOR THE HOT-HEADED MAN|“Keep this thought handy when you feel a fit of rage coming on—it isn’t manly to be enraged. Rather, gentleness and civility are more human, and therefore manlier. A real man doesn’t give way to anger and discontent, and such a person has strength, courage, and endurance—unlike the angry and complaining. The nearer a man comes to a calm mind, the closer he is to strength.” —MARCUS AURELIUS, MEDITATIONS, 11.18.5b
February 2nd|A PROPER FRAME OF MIND|“Frame your thoughts like this—you are an old person, you won’t let yourself be enslaved by this any longer, no longer pulled like a puppet by every impulse, and you’ll stop complaining about your present fortune or dreading the future.” —MARCUS AURELIUS, MEDITATIONS, 2.2
February 3rd|THE SOURCE OF YOUR ANXIETY|“When I see an anxious person, I ask myself, what do they want? For if a person wasn’t wanting something outside of their own control, why would they be stricken by anxiety?” —EPICTETUS, DISCOURSES, 2.13.1
February 4th|ON BEING INVINCIBLE|“Who then is invincible? The one who cannot be upset by anything outside their reasoned choice.” —EPICTETUS, DISCOURSES, 1.18.21
February 5th|STEADY YOUR IMPULSES|“Don’t be bounced around, but submit every impulse to the claims of justice, and protect your clear conviction in every appearance.” —MARCUS AURELIUS, MEDITATIONS, 4.22
February 6th|DON’T SEEK OUT STRIFE|“I don’t agree with those who plunge headlong into the middle of the flood and who, accepting a turbulent life, struggle daily in great spirit with difficult circumstances. The wise person will endure that, but won’t choose it—choosing to be at peace, rather than at war.” —SENECA, MORAL LETTERS, 28.7
February 7th|FEAR IS A SELF-FULFILLING PROPHECY|“Many are harmed by fear itself, and many may have come to their fate while dreading fate.” —SENECA, OEDIPUS, 992
February 8th|DID THAT MAKE YOU FEEL BETTER?|“You cry, I’m suffering severe pain! Are you then relieved from feeling it, if you bear it in an unmanly way?” —SENECA, MORAL LETTERS, 78.17
February 9th|YOU DON’T HAVE TO HAVE AN OPINION|“We have the power to hold no opinion about a thing and to not let it upset our state of mind—for things have no natural power to shape our judgments.” —MARCUS AURELIUS, MEDITATIONS, 6.52
February 10th|ANGER IS BAD FUEL|“There is no more stupefying thing than anger, nothing more bent on its own strength. If successful, none more arrogant, if foiled, none more insane—since it’s not driven back by weariness even in defeat, when fortune removes its adversary it turns its teeth on itself.” —SENECA, ON ANGER, 3.1.5
February 11th|HERO OR NERO?|“Our soul is sometimes a king, and sometimes a tyrant. A king, by attending to what is honorable, protects the good health of the body in its care, and gives it no base or sordid command. But an uncontrolled, desire-fueled, over-indulged soul is turned from a king into that most feared and detested thing—a tyrant.” —SENECA, MORAL LETTERS, 114.24
February 12th|PROTECT YOUR PEACE OF MIND|“Keep constant guard over your perceptions, for it is no small thing you are protecting, but your respect, trustworthiness and steadiness, peace of mind, freedom from pain and fear, in a word your freedom. For what would you sell these things?” —EPICTETUS, DISCOURSES, 4.3.6b–8
February 13th|PLEASURE CAN BECOME PUNISHMENT|“Whenever you get an impression of some pleasure, as with any impression, guard yourself from being carried away by it, let it await your action, give yourself a pause. After that, bring to mind both times, first when you have enjoyed the pleasure and later when you will regret it and hate yourself. Then compare to those the joy and satisfaction you’d feel for abstaining altogether. However, if a seemingly appropriate time arises to act on it, don’t be overcome by its comfort, pleasantness, and allure—but against all of this, how much better the consciousness of conquering it.” —EPICTETUS, ENCHIRIDION, 34
February 14th|THINK BEFORE YOU ACT|“For to be wise is only one thing—to fix our attention on our intelligence, which guides all things everywhere.” —HERACLITUS, QUOTED IN DIOGENES LAERTIUS, LIVES OF THE EMINENT PHILOSOPHERS, 9.1
February 15th|ONLY BAD DREAMS|“Clear your mind and get a hold on yourself and, as when awakened from sleep and realizing it was only a bad dream upsetting you, wake up and see that what’s there is just like those dreams.” —MARCUS AURELIUS, MEDITATIONS, 6.31
February 16th|DON’T MAKE THINGS HARDER THAN THEY NEED TO BE|“If someone asks you how to write your name, would you bark out each letter? And if they get angry, would you then return the anger? Wouldn’t you rather gently spell out each letter for them? So then, remember in life that your duties are the sum of individual acts. Pay attention to each of these as you do your duty . . . just methodically complete your task.” —MARCUS AURELIUS, MEDITATIONS, 6.26
February 17th|THE ENEMY OF HAPPINESS|“It is quite impossible to unite happiness with a yearning for what we don’t have. Happiness has all that it wants, and resembling the well-fed, there shouldn’t be hunger or thirst.” —EPICTETUS, DISCOURSES, 3.24.17
February 18th|PREPARE FOR THE STORM|“This is the true athlete—the person in rigorous training against false impressions. Remain firm, you who suffer, don’t be kidnapped by your impressions! The struggle is great, the task divine—to gain mastery, freedom, happiness, and tranquility.” —EPICTETUS, DISCOURSES, 2.18.27–28
February 19th|THE BANQUET OF LIFE|“Remember to conduct yourself in life as if at a banquet. As something being passed around comes to you, reach out your hand and take a moderate helping. Does it pass you by? Don’t stop it. It hasn’t yet come? Don’t burn in desire for it, but wait until it arrives in front of you. Act this way with children, a spouse, toward position, with wealth—one day it will make you worthy of a banquet with the gods.” —EPICTETUS, ENCHIRIDION, 15
February 20th|THE GRAND PARADE OF DESIRE|“Robbers, perverts, killers, and tyrants—gather for your inspection their so-called pleasures!” —MARCUS AURELIUS, MEDITATIONS, 6.34
February 21st|WISH NOT, WANT NOT|“Remember that it’s not only the desire for wealth and position that debases and subjugates us, but also the desire for peace, leisure, travel, and learning. It doesn’t matter what the external thing is, the value we place on it subjugates us to another . . . where our heart is set, there our impediment lies.” —EPICTETUS, DISCOURSES, 4.4.1–2; 15
February 22nd|WHAT’S BETTER LEFT UNSAID|“Cato practiced the kind of public speech capable of moving the masses, believing proper political philosophy takes care like any great city to maintain the warlike element. But he was never seen practicing in front of others, and no one ever heard him rehearse a speech. When he was told that people blamed him for his silence, he replied, ‘Better they not blame my life. I begin to speak only when I’m certain what I’ll say isn’t better left unsaid.’” —PLUTARCH, CATO THE YOUNGER, 4
February 23rd|CIRCUMSTANCES HAVE NO CARE FOR OUR FEELINGS|“You shouldn’t give circumstances the power to rouse anger, for they don’t care at all.” —MARCUS AURELIUS, MEDITATIONS, 7.38
February 24th|THE REAL SOURCE OF HARM|“Keep in mind that it isn’t the one who has it in for you and takes a swipe that harms you, but rather the harm comes from your own belief about the abuse. So when someone arouses your anger, know that it’s really your own opinion fueling it. Instead, make it your first response not to be carried away by such impressions, for with time and distance self-mastery is more easily achieved.” —EPICTETUS, ENCHIRIDION, 20
February 25th|THE SMOKE AND DUST OF MYTH|“Keep a list before your mind of those who burned with anger and resentment about something, of even the most renowned for success, misfortune, evil deeds, or any special distinction. Then ask yourself, how did that work out? Smoke and dust, the stuff of simple myth trying to be legend . . .” —MARCUS AURELIUS, MEDITATIONS, 12.27
February 26th|TO EACH HIS OWN|“Another has done me wrong? Let him see to it. He has his own tendencies, and his own affairs. What I have now is what the common nature has willed, and what I endeavor to accomplish now is what my nature wills.” —MARCUS AURELIUS, MEDITATIONS, 5.25
February 27th|CULTIVATING INDIFFERENCE WHERE OTHERS GROW PASSION|“Of all the things that are, some are good, others bad, and yet others indifferent. The good are virtues and all that share in them; the bad are the vices and all that indulge them; the indifferent lie in between virtue and vice and include wealth, health, life, death, pleasure, and pain.” —EPICTETUS, DISCOURSES, 2.19.12b–13
February 28th|WHEN YOU LOSE CONTROL|“The soul is like a bowl of water, and our impressions are like the ray of light falling upon the water. When the water is troubled, it appears that the light itself is moved too, but it isn’t. So, when a person loses their composure it isn’t their skills and virtues that are troubled, but the spirit in which they exist, and when that spirit calms down so do those things.” —EPICTETUS, DISCOURSES, 3.3.20–22
February 29th|YOU CAN’T ALWAYS (BE) GET(TING) WHAT YOU WANT|“When children stick their hand down a narrow goody jar they can’t get their full fist out and start crying. Drop a few treats and you will get it out! Curb your desire—don’t set your heart on so many things and you will get what you need.” —EPICTETUS, DISCOURSES, 3.9.22
March 1st|WHERE PHILOSOPHY BEGINS|“An important place to begin in philosophy is this: a clear perception of one’s own ruling principle.” —EPICTETUS, DISCOURSES, 1.26.15
March 2nd|ACCURATE SELF-ASSESSMENT|“Above all, it is necessary for a person to have a true self-estimate, for we commonly think we can do more than we really can.” —SENECA, ON TRANQUILITY OF MIND, 5.2
March 3rd|(DIS)INTEGRATION|“These things don’t go together. You must be a unified human being, either good or bad. You must diligently work either on your own reasoning or on things out of your control—take great care with the inside and not what’s outside, which is to say, stand with the philosopher, or else with the mob!” —EPICTETUS, DISCOURSES, 3.15.13
March 4th|AWARENESS IS FREEDOM|“The person is free who lives as they wish, neither compelled, nor hindered, nor limited—whose choices aren’t hampered, whose desires succeed, and who don’t fall into what repels them. Who wishes to live in deception—tripped up, mistaken, undisciplined, complaining, in a rut? No one. These are base people who don’t live as they wish; and so, no base person is free.” —EPICTETUS, DISCOURSES, 4.1.1–3a
March 5th|CUTTING BACK ON THE COSTLY|“So, concerning the things we pursue, and for which we vigorously exert ourselves, we owe this consideration—either there is nothing useful in them, or most aren’t useful. Some of them are superfluous, while others aren’t worth that much. But we don’t discern this and see them as free, when they cost us dearly.” —SENECA, MORAL LETTERS, 42.6
March 6th|DON’T TELL YOURSELF STORIES|“In public avoid talking often and excessively about your accomplishments and dangers, for however much you enjoy recounting your dangers, it’s not so pleasant for others to hear about your affairs.” —EPICTETUS, ENCHIRIDION, 33.14
March 7th|DON’T TRUST THE SENSES|“Heraclitus called self-deception an awful disease and eyesight a lying sense.” —DIOGENES LAERTIUS, LIVES OF THE EMINENT PHILOSOPHERS, 9.7
March 8th|DON’T UNINTENTIONALLY HAND OVER YOUR FREEDOM|“If a person gave away your body to some passerby, you’d be furious. Yet you hand over your mind to anyone who comes along, so they may abuse you, leaving it disturbed and troubled—have you no shame in that?” —EPICTETUS, ENCHIRIDION, 28
March 9th|FIND THE RIGHT SCENE|“Above all, keep a close watch on this—that you are never so tied to your former acquaintances and friends that you are pulled down to their level. If you don’t, you’ll be ruined. . . . You must choose whether to be loved by these friends and remain the same person, or to become a better person at the cost of those friends . . . if you try to have it both ways you will neither make progress nor keep what you once had.” —EPICTETUS, DISCOURSES, 4.2.1; 4–5
March 10th|FIND YOURSELF A CATO|“We can remove most sins if we have a witness standing by as we are about to go wrong. The soul should have someone it can respect, by whose example it can make its inner sanctum more inviolable. Happy is the person who can improve others, not only when present, but even when in their thoughts!” —SENECA, MORAL LETTERS, 11.9
March 11th|LIVING WITHOUT RESTRICTION|“The unrestricted person, who has in hand what they will in all events, is free. But anyone who can be restricted, coerced, or pushed into something against what they will is a slave.” —EPICTETUS, DISCOURSES, 4.1.128b–129a
March 12th|SEEING THINGS AS THE PERSON AT FAULT DOES|“Whenever someone has done wrong by you, immediately consider what notion of good or evil they had in doing it. For when you see that, you’ll feel compassion, instead of astonishment or rage. For you may yourself have the same notions of good and evil, or similar ones, in which case you’ll make an allowance for what they’ve done. But if you no longer hold the same notions, you’ll be more readily gracious for their error.” —MARCUS AURELIUS, MEDITATIONS, 7.26
March 13th|ONE DAY IT WILL ALL MAKE SENSE|“Whenever you find yourself blaming providence, turn it around in your mind and you will see that what has happened is in keeping with reason.” —EPICTETUS, DISCOURSES, 3.17.1
March 14th|SELF-DECEPTION IS OUR ENEMY|“Zeno would also say that nothing is more hostile to a firm grasp on knowledge than self-deception.” —DIOGENES LAERTIUS, LIVES OF THE EMINENT PHILOSOPHERS, 7.23
March 15th|THE PRESENT IS ALL WE POSSESS|“Were you to live three thousand years, or even a countless multiple of that, keep in mind that no one ever loses a life other than the one they are living, and no one ever lives a life other than the one they are losing. The longest and the shortest life, then, amount to the same, for the present moment lasts the same for all and is all anyone possesses. No one can lose either the past or the future, for how can someone be deprived of what’s not theirs?” —MARCUS AURELIUS, MEDITATIONS, 2.14
March 16th|THAT SACRED PART OF YOU|“Hold sacred your capacity for understanding. For in it is all, that our ruling principle won’t allow anything to enter that is either inconsistent with nature or with the constitution of a logical creature. It’s what demands due diligence, care for others, and obedience to God.” —MARCUS AURELIUS, MEDITATIONS, 3.9
March 17th|THE BEAUTY OF CHOICE|“You are not your body and hair-style, but your capacity for choosing well. If your choices are beautiful, so too will you be.” —EPICTETUS, DISCOURSES, 3.1.39b–40a
March 18th|IMPOSSIBLE WITHOUT YOUR CONSENT|“Today I escaped from the crush of circumstances, or better put, I threw them out, for the crush wasn’t from outside me but in my own assumptions.” —MARCUS AURELIUS, MEDITATIONS, 9.13
March 19th|TIMELESS WISDOM|“For there are two rules to keep at the ready—that there is nothing good or bad outside my own reasoned choice, and that we shouldn’t try to lead events but to follow them.” —EPICTETUS, DISCOURSES, 3.10.18
March 20th|READY AND AT HOME|“I may wish to be free from torture, but if the time comes for me to endure it, I’ll wish to bear it courageously with bravery and honor. Wouldn’t I prefer not to fall into war? But if war does befall me, I’ll wish to carry nobly the wounds, starvation, and other necessities of war. Neither am I so crazy as to desire illness, but if I must suffer illness, I’ll wish to do nothing rash or dishonorable. The point is not to wish for these adversities, but for the virtue that makes adversities bearable.” —SENECA, MORAL LETTERS, 67.4
March 21st|THE BEST RETREAT IS IN HERE, NOT OUT THERE|“People seek retreats for themselves in the country, by the sea, or in the mountains. You are very much in the habit of yearning for those same things. But this is entirely the trait of a base person, when you can, at any moment, find such a retreat in yourself. For nowhere can you find a more peaceful and less busy retreat than in your own soul—especially if on close inspection it is filled with ease, which I say is nothing more than being well-ordered. Treat yourself often to this retreat and be renewed.” —MARCUS AURELIUS, MEDITATIONS, 4.3.1
March 22nd|THE SIGN OF TRUE EDUCATION|“What is it then to be properly educated? It is learning to apply our natural preconceptions to the right things according to Nature, and beyond that to separate the things that lie within our power from those that don’t.” —EPICTETUS, DISCOURSES, 1.22.9–10a
March 23rd|THE STRAITJACKETED SOUL|“The diseases of the rational soul are long-standing and hardened vices, such as greed and ambition—they have put the soul in a straitjacket and have begun to be permanent evils inside it. To put it briefly, this sickness is an unrelenting distortion of judgment, so things that are only mildly desirable are vigorously sought after.” —SENECA, MORAL LETTERS, 75.11
March 24th|THERE IS PHILOSOPHY IN EVERYTHING|“Eat like a human being, drink like a human being, dress up, marry, have children, get politically active—suffer abuse, bear with a headstrong brother, father, son, neighbor, or companion. Show us these things so we can see that you truly have learned from the philosophers.” —EPICTETUS, DISCOURSES, 3.21.5–6
March 25th|WEALTH AND FREEDOM ARE FREE|“. . . freedom isn’t secured by filling up on your heart’s desire but by removing your desire.” —EPICTETUS, DISCOURSES, 4.1.175
March 26th|WHAT RULES YOUR RULING REASON?|“How does your ruling reason manage itself? For in that is the key to everything. Whatever else remains, be it in the power of your choice or not, is but a corpse and smoke.” —MARCUS AURELIUS, MEDITATIONS, 12.33
March 27th|PAY WHAT THINGS ARE WORTH|“Diogenes of Sinope said we sell things of great value for things of very little, and vice versa.” —DIOGENES LAERTIUS, LIVES OF THE EMINENT PHILOSOPHERS, 6.2.35b
March 28th|COWARDICE AS A DESIGN PROBLEM|“Life without a design is erratic. As soon as one is in place, principles become necessary. I think you’ll concede that nothing is more shameful than uncertain and wavering conduct, and beating a cowardly retreat. This will happen in all our affairs unless we remove the faults that seize and detain our spirits, preventing them from pushing forward and making an all-out effort.” —SENECA, MORAL LETTERS, 95.46
March 29th|WHY DO YOU NEED TO IMPRESS THESE PEOPLE AGAIN?|“If you should ever turn your will to things outside your control in order to impress someone, be sure that you have wrecked your whole purpose in life. Be content, then, to be a philosopher in all that you do, and if you wish also to be seen as one, show yourself first that you are and you will succeed.” —EPICTETUS, ENCHIRIDION, 23
March 30th|REASON IN ALL THINGS|“Hurry to your own ruling reason, to the reason of the Whole, and to your neighbor’s. To your own mind to make it just; to the mind of the Whole to remember your place in it; and to your neighbor’s mind to learn whether it’s ignorant or of sound knowledge—while recognizing it’s like yours.” —MARCUS AURELIUS, MEDITATIONS, 9.22
March 31st|YOU’RE A PRODUCT OF YOUR TRAINING|“Chasing what can’t be done is madness. But the base person is unable to do anything else.” —MARCUS AURELIUS, MEDITATIONS, 5.17
April 1st|THE COLOR OF YOUR THOUGHTS|“Your mind will take the shape of what you frequently hold in thought, for the human spirit is colored by such impressions.” —MARCUS AURELIUS, MEDITATIONS, 5.16
April 2nd|BE WARY OF WHAT YOU LET IN|“Drama, combat, terror, numbness, and subservience—every day these things wipe out your sacred principles, whenever your mind entertains them uncritically or lets them slip in.” —MARCUS AURELIUS, MEDITATIONS, 10.9
April 3rd|DECEIVED AND DIVIDED|“Circumstances are what deceive us—you must be discerning in them. We embrace evil before good. We desire the opposite of what we once desired. Our prayers are at war with our prayers, our plans with our plans.” —SENECA, MORAL LETTERS, 45.6
April 4th|DON’T LET THIS GO TO YOUR HEAD|“Make sure you’re not made ‘Emperor,’ avoid that imperial stain. It can happen to you, so keep yourself simple, good, pure, saintly, plain, a friend of justice, god-fearing, gracious, affectionate, and strong for your proper work. Fight to remain the person that philosophy wished to make you. Revere the gods, and look after each other. Life is short—the fruit of this life is a good character and acts for the common good.” —MARCUS AURELIUS, MEDITATIONS, 6.30
April 5th|TRUST, BUT VERIFY|“First off, don’t let the force of the impression carry you away. Say to it, ‘hold up a bit and let me see who you are and where you are from—let me put you to the test’ . . .” —EPICTETUS, DISCOURSES, 2.18.24
April 6th|PREPARE YOURSELF FOR NEGATIVITY|“When you first rise in the morning tell yourself: I will encounter busybodies, ingrates, egomaniacs, liars, the jealous and cranks. They are all stricken with these afflictions because they don’t know the difference between good and evil. Because I have understood the beauty of good and the ugliness of evil, I know that these wrong-doers are still akin to me . . . and that none can do me harm, or implicate me in ugliness—nor can I be angry at my relatives or hate them. For we are made for cooperation.” —MARCUS AURELIUS, MEDITATIONS, 2.1
April 7th|EXPECT TO CHANGE YOUR OPINIONS|“There are two things that must be rooted out in human beings—arrogant opinion and mistrust. Arrogant opinion expects that there is nothing further needed, and mistrust assumes that under the torrent of circumstance there can be no happiness.” —EPICTETUS, DISCOURSES, 3.14.8
April 8th|THE COST OF ACCEPTING COUNTERFEITS|“When it comes to money, where we feel our clear interest, we have an entire art where the tester uses many means to discover the worth . . . just as we give great attention to judging things that might steer us badly. But when it comes to our own ruling principle, we yawn and doze off, accepting any appearance that flashes by without counting the cost.” —EPICTETUS, DISCOURSES, 1.20.8; 11
April 9th|TEST YOUR IMPRESSIONS|“From the very beginning, make it your practice to say to every harsh impression, ‘you are an impression and not at all what you appear to be.’ Next, examine and test it by the rules you possess, the first and greatest of which is this—whether it belongs to the things in our control or not in our control, and if the latter, be prepared to respond, ‘It is nothing to me.’” —EPICTETUS, ENCHIRIDION, 1.5
April 10th|JUDGMENTS CAUSE DISTURBANCE|“It isn’t events themselves that disturb people, but only their judgments about them.” —EPICTETUS, ENCHIRIDION, 5
April 11th|IF YOU WANT TO LEARN, BE HUMBLE|“Throw out your conceited opinions, for it is impossible for a person to begin to learn what he thinks he already knows.” —EPICTETUS, DISCOURSES, 2.17.1
